,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0208105147864184,0.02514890800794176,0.011518642012731131,0.022774947557686543,0.05154639175257732,0.0628722700198544,0.029150046026388463,0.056648777579010136,0.026498422712933754,0.027796161482461945,0.0137524557956778,0.027131782945736434,0.03849518810148731,0.02911978821972204,0.01685823754789272,0.03315749811605124,0.008799497171590195,0.009265387160820648,0.0045336787564766836,0.00902643455834945
2,10,0.0887185104052574,0.10721376571806751,0.051023622047244095,0.09709319748276894,0.20455778621812262,0.24950363997352745,0.12663755458515283,0.2248062015503876,0.12429022082018927,0.13037723362011913,0.06795446705760608,0.12726098191214472,0.16272965879265092,0.12309728656518862,0.0753646677471637,0.14016578749058026,0.03519798868636078,0.037061548643282594,0.018384766907419567,0.0361057382333978
3,15,0.24589266155531217,0.29676140118968936,0.15536332179930795,0.26894279724468406,0.39012479652740095,0.4758438120450033,0.272865275142315,0.4287418008348241,0.26750788643533124,0.28060886829913967,0.15868263473053892,0.27390180878552967,0.310586176727909,0.23494374586366645,0.1544149630274032,0.26752072343632255,0.08799497171590195,0.09265387160820648,0.04726536124240378,0.09026434558349453
4,20,0.45454545454545453,0.538961038961039,0.3272870662460568,0.4931669637551991,0.5284861638632664,0.6446062210456651,0.4092436974789916,0.580799045915325,0.42586750788643535,0.44672402382528126,0.2788104089219331,0.43604651162790703,0.4873140857392826,0.3686300463269358,0.26561754887935146,0.41974378296910325,0.15587680703959775,0.16412971542025148,0.08689558514365803,0.15989684074790458
5,25,0.6374589266155531,0.7334593572778828,0.5175633614939973,0.68209786111925,0.6310363537710255,0.7696889477167439,0.5308078502966682,0.693500298151461,0.5646687697160884,0.5923229649238915,0.40663334847796456,0.5781653746770027,0.6386701662292213,0.4831237590999338,0.3794178794178794,0.5501130369253957,0.24387177875549967,0.25610561056105613,0.14275202354672553,0.2498390212491951
6,30,0.7754654983570646,0.855072463768116,0.6853823814133592,0.813325674899483,0.6988605534454694,0.8524156187954997,0.6234269119070668,0.7680381633870005,0.6996845425867508,0.7334656084656085,0.5578470824949698,0.7161769454310623,0.7795275590551181,0.5896757114493713,0.5053885422575156,0.6714393368500376,0.34255185417976114,0.35949868073878627,0.21272443403590943,0.35082072738976505
7,35,0.864184008762322,0.9179755671902269,0.8022369089984749,0.8902679830747532,0.7357569180683667,0.8968253968253969,0.6783391695847923,0.8083457526080475,0.7911671924290221,0.8293650793650794,0.6804123711340206,0.8098159509202454,0.868766404199475,0.657180675049636,0.5978326309452138,0.7483044461190655,0.45631678189817726,0.47700394218134035,0.30414746543778803,0.46643109540636046
8,40,0.9112814895947426,0.9470688673875924,0.8671182907764461,0.9288305888919901,0.75366250678242,0.917437252311757,0.7057926829268293,0.8275245755138517,0.840378548895899,0.8809523809523809,0.7546742209631728,0.8601872780109784,0.9212598425196851,0.6968894771674388,0.6577139287945034,0.7935192162773173,0.552482715273413,0.5737597911227154,0.3917112299465241,0.5629202689721422
9,45,0.9304490690032858,0.9550309162450815,0.891395592864638,0.9425797503467406,0.7677699403147042,0.933377308707124,0.727880658436214,0.8425126525751712,0.865615141955836,0.9068076668869796,0.7949015063731171,0.8857327307940608,0.9501312335958005,0.7187293183322303,0.6926020408163265,0.8183873398643556,0.6499057196731616,0.6679586563307494,0.49121140142517816,0.6588085377508761
10,50,0.943592552026287,0.9593541202672605,0.9073196419167984,0.951408061844285,0.7737384698860553,0.9400131839156229,0.7373319544984488,0.8488095238095237,0.886435331230284,0.928005284015852,0.8293978748524203,0.9067441110035496,0.9720034995625547,0.7352746525479815,0.7200259235255995,0.837226827430294,0.7121307353865494,0.7262820512820513,0.5614469772051536,0.7191367819739766
